index,Name,Ukrainian,Russian
125,ienakiievska,13.56,85.72
4,ievpatoriiska,8.73,83.69
113,iurïvskyi,92.81,5.98
398,YUZHNE,44.76,53.71
372,YUZHNOUKRAINSK,66.52,31.37
536,ZACHEPYLIVSKYI,83.95,14.89
505,ZALISHCHYTSKYI,99.47,0.45
204,zaporizka,41.7,56.77
216,ZAPORIZKYI,83.85,15.43
465,ZARICHNENSKYI,99.36,0.39
655,zastavnetskyi,99.22,0.59
506,ZBARAZKYI,98.32,1.55
507,ZBORIVSKYI,99.68,0.23
466,ZDOLBUNIVSKYI,97.31,2.41
268,zgurivskyi,97.02,2.30
607,ZHASHKIVSKYI,98.11,1.5
126,zhdanivska,11.66,87.41
27,zhmerynska,90.81,8.51
36,ZHMERYNSKYI,97.67,2.06
356,ZHOVKIVSKYI,99.11,0.67
82,zhovtovodska,77.08,20.89
383,ZHOVTNEVYI,80.51,18.08
352,ZHYDACHIVSKYI,99.27,0.56
160,zhytomyrska,83.18,16.27
171,ZHYTOMYRSKYI,93.55,6.11
435,ZINKIVSKYI,96.97,2.28
533,zmiïvskyi,76.38,22.49
286,ZNAMIANKA,79.1,19.85
295,ZNAMIANSKYI,93.32,5.1
353,ZOLOCHIVSKYI,98.97,0.86
537,ZOLOCHIVSKYI,85.66,13.34
609,ZOLOTONISKYI,96.5,2.96
602,ZOLOTONOSHA,92.79,6.32
608,ZVENYHORODSKYI,97.64,2.02
