index,Name,Ukrainian,Russian
632,HORODNIANSKYI,92.46,6.99
350,HORODOTSKYI,99.05,0.77
582,HORODOTSKYI,98.46,0.98
605,HORODYSHCHENSKYI,97.56,1.99
64,HOROKHIVSKYI,99.17,0.63
461,HOSHCHANSKYI,99.08,0.75
433,HREBINKIVSKYI,95.78,3.62
215,HULIAIPILSKYI,94.13,5.22
504,HUSIATYNSKYI,99.39,0.44
633,ICHNIANSKYI,97.83,2.0
395,ILLICHIVSK,41.44,57.3
37,ILLINETSKYI,98.1,1.35
680,INKERMAN,5.23,91.17
253,irpinska,87.79,11.63
195,IRSHAVSKYI,99.01,0.65
407,IVANIVSKYI,72.56,17.56
564,IVANIVSKYI,90.15,7.05
269,IVANKIVSKYI,96.47,3.12
229,ivano-frankivska,92.65,6.38
65,IVANYCHIVSKYI,99.0,0.8
585,IZIASLAVSKYI,97.0,2.77
519,iziumska,74.22,23.77
538,IZIUMSKYI,91.67,7.47
394,IZMAIL,18.04,74.24
408,izma‹lska,26.34,21.56
681,KACHA,5.14,94.04
270,KAHARLYTSKYI,96.97,2.65
553,KAKHOVKA,73.85,25.27
566,KAKHOVSKYI,88.06,11.02
565,KALANCHATSKYI,88.78,9.55
231,KALUSH,95.33,3.19
239,KALUSKYI,99.65,0.3
39,KALYNIVSKYI,97.75,1.97
574,kamianets-podilska,91.22,7.08
586,KAMIANETS-PODILSKYI,98.59,1.19
354,KAMIANKA-BUZKYI,98.82,0.98
217,KAMIANSKO-DNIPROVSKYI,44.48,54.68
610,KAMIANSKYI,96.78,2.97
66,KAMIN-KASHYRSKYI,99.58,0.33
710,KAMYSHLY,16.67,50.0
601,kanivska,88.43,11.24
611,KANIVSKYI,96.95,2.75
436,KARLIVSKYI,95.85,3.35
612,KATERYNOPILSKYI,98.01,1.6
384,kazanetskyi,81.22,17.26
539,KEHYCHIVSKYI,92.05,5.45
656,KELMENETSKYI,97.75,1.32
5,kerchenska,5.27,91.34
518,kharkivska,31.77,65.86
549,KHARKIVSKYI,63.88,35.16
139,khartsyzka,16.08,82.97
552,khersonska,56.2,42.52
573,KHMELNYTSKYI,88.39,10.36
595,KHMELNYTSKYI,95.82,1.96
31,khmelnytska,97.12,2.59
54,KHMILNYTSKYI,99.11,0.72
451,KHOROLSKYI,97.26,2.46
662,KHOTYNSKYI,91.57,1.27
620,KHRYSTYNIVSKYI,97.09,2.25
190,KHUST,90.98,3.83
203,KHUSTSKYI,95.21,0.84
409,KILIISKYI,36.09,44.23
284,KIROVOHRAD,79.72,19.64
296,KIROVOHRADSKYI,87.85,10.42
312,kirovska,20.25,79.3
128,KIROVSKE,16.9,82.39
15,KIROVSKYI,8.38,64.18
657,KITSMANSKYI,98.83,0.9
67,KIVERTSIVSKYI,98.58,1.23
437,KOBELIATSKYI,95.97,3.3
410,KODYMSKYI,95.48,3.42
690,KOLKHOZNE,0.0,88.89
540,KOLOMATSKYI,94.01,4.46
232,KOLOMYIA,93.11,5.0
240,KOLOMYISKYI,99.54,0.36
411,KOMINTERNIVSKYI,77.28,20.54
297,kompani‹vskyi,95.45,2.53
426,komsomolska,73.15,26.25
478,konotopska,86.41,12.96
487,KONOTOPSKYI,97.4,2.18
467,KORETSKYI,99.17,0.67
636,KORIUKIVSKYI,96.93,2.81
635,KOROPSKYI,97.8,2.02
162,korostenska,86.69,12.73
172,KOROSTENSKYI,97.83,1.7
173,KOROSTYSHIVSKYI,94.75,4.89
613,KORSUN-SHEVCHENKIVSKYI,96.57,2.5
241,KOSIVSKYI,99.47,0.41
129,kostiantynivska,20.98,78.06
149,KOSTIANTYNIVSKYI,69.84,29.41
468,KOSTOPILSKYI,98.45,1.37
439,KOTELEVSKYI,97.17,2.44
396,kotovska,70.32,26.54
412,KOTOVSKYI,68.96,7.7
61,kovelska,95.77,3.93
68,KOVELSKYI,99.02,0.83
634,KOZELETSKYI,95.77,3.84
438,KOZELSHCHYNSKYI,96.02,3.41
29,KOZIATYN,94.88,4.76
38,KOZIATYNSKYI,98.33,1.25
508,KOZIVSKYI,99.64,0.28
130,kramatorska,35.64,63.27
131,krasnoarmiiska,37.07,62.16
150,KRASNOARMIISKYI,74.06,25.53
314,krasnodonska,8.32,91.11
326,KRASNODONSKYI,27.26,72.32
541,KRASNOHRADSKYI,77.16,21.9
16,KRASNOHVARDIISKYI,11.94,69.42
542,KRASNOKUTSKYI,94.92,4.35
151,KRASNOLYMANSKYI,82.18,16.96
413,KRASNOOKNIANSKYI,86.14,6.61
6,KRASNOPEREKOPSK,16.48,79.62
17,KRASNOPEREKOPSKYI,26.78,53.26
488,KRASNOPILSKYI,93.03,6.49
315,krasnolutska,14.65,83.59
132,KRASNYILYMAN,70.35,29.13
587,KRASYLIVSKYI,98.35,1.39
427,kremenchutska,75.48,23.94
440,KREMENCHUTSKYI,93.75,5.58
509,KREMENETSKYI,98.69,1.11
327,KREMINSKYI,78.73,20.82
489,KROLEVETSKYI,95.77,3.81
97,KRYNYCHANSKYI,94.03,4.71
385,KRYVOOZERSKYI,96.93,1.82
96,KRYVORIZKYI,91.35,7.73
83,kryvyirig,71.35,27.17
40,KRYZHOPILSKYI,98.78,0.92
218,KUIBYSHEVSKYI,89.12,10.15
637,KULYKIVSKYI,97.97,1.71
520,kupianska,69.28,25.58
543,KUPIANSKYI,88.94,10.38
457,KUZNETSOVSK,90.42,9.27
271,KYIEVO-SVIATOSHYNSKYI,91.40,8.06
663,KYIV,72.15,25.27
689,KYZYLOVE,15.15,84.85
30,ladyzhynska,88.35,11.25
510,LANOVETSKYI,99.16,0.66
479,LEBEDYN,93.3,6.46
490,LEBEDYNSKYI,96.06,3.5
18,LENINSKYI,10.57,70.39
678,LENINSKYI,5.95,91.52
588,LETYCHIVSKYI,98.22,1.54
42,LITYNSKYI,98.5,1.35
175,LIUBARSKYI,98.77,1.06
414,LIUBASHIVSKYI,93.13,2.69
71,LIUBESHIVSKYI,99.47,0.34
72,liubomlsky,99.11,0.76
522,LIUBOTYN,86.1,12.59
69,LOKACHYNSKYI,99.37,0.51
441,LOKHVYTSKYI,96.86,2.74
544,LOZIVSKYI,88.51,10.74
521,lozivska,77.21,17.56
442,LUBENSKYI,97.45,2.1
428,lubenska,91.06,8.61
309,luhanska,14.33,84.73
174,LUHYNSKYI,98.3,1.41
59,lutska,92.87,6.79
70,LUTSKYI,98.84,1.01
328,LUTUHYNSKYI,49.33,49.82
341,lvivska,88.75,9.72
41,LYPOVETSKYI,98.78,1.08
491,LYPOVODOLYNSKYI,97.73,1.85
614,LYSIANSKYI,98.29,1.42
316,lysychanska,35.34,62.86
98,MAHDALYNIVSKYI,93.91,4.75
272,MAKARIVSKYI,95.69,3.83
133,maki‹vska,12.42,86.58
298,MALOVYSKIVSKYI,89.34,9.56
176,MALYNSKYI,96.33,3.24
73,MANEVYTSKYI,99.33,0.55
615,MANKIVSKYI,98.12,1.59
84,marhanetska,72.15,26.68
152,mar‹nskyi,56.52,43.02
127,mariupolska,9.87,89.53
329,markivskyi,93.78,5.8
443,MASHIVSKYI,95.35,3.92
206,melitopolska,20.42,78.14
219,MELITOPOLSKYI,39.35,58.24
638,MENSKYI,97.54,2.14
99,MEZHIVSKYI,94.71,3.93
330,MILOVSKYI,73.84,24.12
196,MIZHHIRSKYI,99.27,0.45
469,MLYNIVSKYI,99.22,0.68
28,mohyliv-podilska,92.31,7.01
43,MOHYLIV-PODILSKYI,98.19,1.55
616,MONASTYRYSHCHENSKYI,98.38,1.29
511,MONASTYRYSKYI,99.62,0.3
355,MOSTYSKYI,93.21,0.42
189,mukachivska,77.63,10.72
197,MUKACHIVSKYI,84.22,0.72
44,murovano-kurylovetskyi,98.76,1.05
220,MYKHAILIVSKYI,67.08,31.82
368,mykola‹vska,42.17,56.81
357,mykola‹vskyi,98.47,1.37
386,MYKOLAIVSKYI,87.4,11.43
415,MYKOLAIVSKYI,93.39,2.58
429,MYRHOROD,88.26,11.34
444,MYRHORODSKYI,97.48,2.32
273,MYRONIVSKYI,96.68,2.95
242,NADVIRNIANSKYI,98.78,0.84
679,NAKHIMOVSKYI,6.80,91.7
177,NARODYTSKYI,97.1,1.83
492,NEDRYHAILIVSKYI,97.73,1.87
45,NEMYRIVSKYI,97.52,2.1
575,NETISHYN,87.66,11.41
85,nikopolska,56.0,42.73
100,NIKOPOLSKYI,89.66,9.75
626,nizhynska,89.54,8.89
639,NIZHYNSKYI,98.51,1.34
641,NOSIVSKYI,97.92,1.71
554,novokahovska,58.84,40.3
640,NOVHOROD-SIVERSKYI,63.93,35.93
299,NOVHORODKIVSKYI,97.05,2.07
331,NOVOAIDARSKYI,45.99,53.61
300,NOVOARKHANHELSKYI,96.95,1.87
153,NOVOAZOVSKYI,40.22,59.33
691,NOVOBOBRIVSKE,12.50,65.54
387,NOVOBUZKYI,94.03,4.42
651,NOVODNISTROVSK,85.67,13.37
163,novohrad-volynska,89.37,10.01
178,NOVOHRAD-VOLYNSKYI,98.51,1.35
134,novohrodivska,29.84,69.2
86,novomoskovska,80.88,18.48
101,NOVOMOSKOVSKYI,86.2,12.93
221,novomykola‹vskyi,93.78,5.76
301,NOVOMYRHORODSKYI,95.15,2.48
388,NOVOODESKYI,92.42,5.93
332,NOVOPSKOVSKYI,92.2,7.52
445,NOVOSANZHARSKYI,95.86,3.42
658,novoselitskyi,34.08,1.78
569,novotro‹tskyi,87.15,10.67
302,novoukra‹nskyi,95.32,2.67
589,NOVOUSHYTSKYI,96.48,3.29
545,NOVOVODOLAZKYI,77.69,21.52
62,novovolynska,94.37,5.22
568,NOVOVORONTSOVSKYI,95.6,3.76
19,NYZHNOHIRSKYI,10.47,72.72
567,NYZHNOSIROHOZKYI,80.3,17.45
668,OBOLONSKYI,70.31,23.6
274,OBUKHIVSKYI,87.29,12.19
370,OCHAKIV,70.31,28.49
389,OCHAKIVSKYI,85.21,12.67
392,odeska,30.41,64.75
476,okhtyrska,87.11,9.95
482,OKHTYRSKYI,96.22,3.26
285,OLEKSANDRIIA,87.0,12.47
288,OLEKSANDRIISKYI,95.03,3.79
142,OLEKSANDRIVSKYI,89.51,9.98
289,OLEKSANDRIVSKYI,96.83,2.32
180,OLEVSKYI,98.23,1.32
304,onufri‹vskyi,86.27,12.88
46,ORATIVSKYI,99.1,0.74
87,ordzhonikidzevska,67.72,31.7
222,ORIKHIVSKYI,91.37,8.17
683,ORLIVKA,15.15,76.09
687,ORLYNE,7.74,75.35
686,ORLYNIVSKA,12.42,74.71
446,ORZHYTSKYI,97.45,2.06
458,OSTROH,97.32,2.42
470,OSTROZKYI,99.3,0.55
684,OSYPENKO,12.35,83.88
416,OVIDIOPOLSKYI,69.64,27.76
179,OVRUTSKYI,95.88,3.52
692,OZERNE,1.66,98.34
693,PAVLIVKA,17.56,77.52
88,pavlograd,59.23,39.82
102,PAVLOHRADSKYI,75.97,23.36
547,PECHENIZKYI,92.75,6.87
669,PECHERSKYI,60.23,30.67
198,PERECHYNSKYI,96.6,1.28
694,PEREDOVE,17.22,69.61
254,pereiaslav-khmelnytska,95.89,3.61
275,PEREIASLAV-KHMELNYTSKYI,97.14,2.56
358,PEREMYSHLIANSKYI,99.68,0.25
333,PEREVALSKYI,23.15,76.39
89,PERSHOTRAVENSK,40.21,58.89
154,PERSHOTRAVNEVYI,22.35,76.63
317,pervomaiska,37.94,57.07
371,PERVOMAISK,82.76,15.79
20,PERVOMAISKYI,19.27,58.44
390,PERVOMAISKYI,93.22,4.76
523,PERVOMAISKYI,42.83,52.65
546,PERVOMAISKYI,58.16,41.17
305,PETRIVSKYI,93.58,5.28
104,PETROPAVLIVSKYI,91.43,7.96
103,PETRYKIVSKYI,95.49,3.95
106,PIATYKHATSKYI,92.32,6.33
513,PIDHAIETSKYI,99.83,0.13
695,PIDHIRNE,1.61,82.26
512,PIDVOLOCHYSKYI,99.48,0.36
47,PISHCHANSKYI,97.62,1.6
670,PODILSKYI,73.94,25.03
48,POHREBYSHCHENSKYI,98.79,1.06
105,POKROVSKYI,95.25,4.15
276,POLISKYI,97.23,2.18
685,POLIUSHKO,13.35,53.42
223,POLOHIVSKYI,92.87,6.54
590,POLONSKYI,98.38,1.38
425,poltavska,85.39,14.06
448,POLTAVSKYI,93.81,5.74
334,POPASNIANSKYI,64.08,35.6
181,POPILNIANSKYI,97.33,2.08
712,POVOROTNE,14.22,71.55
224,PRYAZOVSKYI,37.36,53.31
627,prylutska,92.91,6.77
642,PRYLUTSKYI,97.23,2.44
225,PRYMORSKYI,32.47,55.18
258,PRYPIAT,-,-
359,PUSTOMYTIVSKYI,98.94,0.68
659,PUTYLSKYI,99.47,0.37
493,PUTYVLSKYI,38.68,61.02
447,PYRIATYNSKYI,94.79,4.76
711,PYROHOVKA,6.34,89.43
360,RADEKHIVSKYI,99.55,0.34
182,RADOMYSHLSKYI,97.24,2.54
474,RADYVYLIVSKYI,99.11,0.74
199,RAKHIVSKYI,84.63,0.89
74,RATNIVSKYI,99.17,0.53
418,RENIISKYI,7.26,37.88
449,RESHETYLIVSKYI,96.38,2.72
696,REZERVNE,19.40,78.36
703,RIDNE,15.37,56.64
643,RIPKYNSKYI,87.64,11.4
455,rivnenska,92.08,7.48
471,RIVNENSKYI,98.28,1.52
697,RODNYKIVSKE,6.41,79.03
243,ROHATYNSKYI,99.68,0.25
277,ROKYTNIANSKYI,97.98,1.80
472,ROKYTNIVSKYI,99.3,0.43
494,ROMENSKYI,97.6,2.02
480,romenska,93.98,5.67
318,rovenkivska,21.24,78.3
417,rozdilniaskyi,68.06,28.42
21,ROZDOLNENSKYI,20.84,63.97
244,ROZHNIATIVSKYI,99.61,0.33
75,ROZHYSHCHENSKYI,99.03,0.83
226,ROZIVSKYI,82.43,16.95
698,ROZSOSHANKA,1.64,95.9
319,rubezhanska,38.95,60.05
183,RUZHYNSKYI,98.68,1.09
256,RZHYSHCHIV,95.14,4.27
548,SAKHNOVSHCHYNSKYI,94.4,4.54
22,SAKSKYI,16.91,64.48
7,sakska,8.87,84.26
344,sambirska,95.16,2.31
361,SAMBIRSKYI,97.99,0.6
420,SARATSKYI,41.29,21.42
473,SARNENSKYI,98.16,1.58
419,SAVRANSKYI,95.95,2.44
135,selydovska,26.03,72.98
450,SEMENIVSKYI,97.26,2.15
644,SEMENIVSKYI,80.37,19.39
495,SEREDYNO-BUDSKYI,20.75,79.11
674,SEVASTOPOL,6.76,90.56
675,SEVASTOPOL,6.48,91.41
140,shakhtarska,22.46,76.34
158,SHAKHTARSKYI,53.36,46.25
57,SHARHORODSKYI,98.92,0.87
78,SHATSKYI,98.73,0.89
649,SHCHORSKYI,89.36,10.3
577,shepetivska,93.46,5.69
597,SHEPETIVSKYI,97.9,1.74
551,SHEVCHENKIVSKYI,91.23,7.75
673,SHEVCHENKIVSKYI,64.65,32.14
481,shostkinska,60.81,35.74
498,shostkinskyi,86.51,12.93
624,SHPOLIANSKYI,97.74,1.8
517,SHUMSKYI,99.44,0.47
424,shyria‹vskyi,91.13,3.62
700,SHYROKE,16.51,69.5
112,SHYROKIVSKYI,92.47,6.4
454,SHYSHATSKYI,96.73,2.54
321,sieverodonetska,28.31,70.78
1,simferopolska,6.35,85.82
23,SIMFEROPOLSKYI,9.62,66.95
570,SKADOVSKYI,80.56,17.72
362,SKOLIVSKYI,99.41,0.47
278,SKVYRSKYI,97.39,1.93
136,slovianska,43.77,54.61
576,SLAVUTA,92.34,7.23
591,SLAVUTSKYI,98.84,1.05
257,SLAVUTYCH,55.42,42.58
337,SLOVIANOSERBSKYI,38.94,60.4
