Name ,Ukrainian,Russian
KRASNOLYMANSKYI RAION,389.0,800
MARINSKYI RAION,1337.0,23080
NOVOAZOVSKYI RAION,474.0,11919
OLEKSANDRIVSKYI RAION,262.0,947
PERSHOTRAVNEVYI RAION,336.0,14755
SLOVIANSKYI RAION,641.0,2487
STAROBESHIVSKYI RAION,349.0,28241
TELMANIVSKYI RAION,809.0,13338
SHAKHTARSKYI RAION,289.0,5804
YASYNUVATSKYI RAION,291.0,9585
m. ZHYTOMYR,17568.0,20837
m. BERDYCHIV,5956.0,3235
m. KOROSTEN,1908.0,4087
m. NOVOHRAD-VOLYNSKYI,3650.0,1858
ANDRUSHIVSKYI RAION,669.0,170
BARANIVSKYI RAION,5411.0,130
BERDYCHIVSKYI RAION,1502.0,120
BRUSYLIVSKYI RAION,338.0,155
VOLODARSKO-VOLYNSKYI RAION,2755.0,305
YEMILCHYNSKYI RAION,3215.0,146
ZHYTOMYRSKYI RAION,4113.0,1221
KOROSTENSKYI RAION,997.0,144
KOROSTYSHIVSKYI RAION,955.0,447
LUHYNSKYI RAION,328.0,54
LIUBARSKYI RAION,379.0,85
MALYNSKYI RAION,1390.0,396
NARODYTSKYI RAION,120.0,46
NOVOHRAD-VOLYNSKYI RAION,2328.0,152
OVRUTSKYI RAION,598.0,700
OLEVSKYI RAION,641.0,161
POPILNIANSKYI RAION,396.0,145
RADOMYSHLSKYI RAION,995.0,207
ROMANIVSKYI RAION,4039.0,95
RUZHYNSKYI RAION,439.0,83
CHERVONOARMIISKYI RAION,2569.0,92
CHERNIAKHIVSKYI RAION,487.0,93
CHUDNIVSKYI RAION,1372.0,177
m. UZHHOROD,3109.0,3980
m. MUKACHEVE,2003.0,1904
KHUST (miskrada),676.0,184
BEREHOVE (miskrada),209.0,286
BEREHIVSKYI RAION,115.0,74
VELYKOBEREZNIANSKYI RAION,760.0,22
VYNOHRADIVSKYI RAION,1379.0,240
VOLOVETSKYI RAION,87.0,25
IRSHAVSKYI RAION,443.0,79
MIZHHIRSKYI RAION,76.0,13
MUKACHIVSKYI RAION,653.0,93
PERECHYNSKYI RAION,379.0,63
RAKHIVSKYI RAION,953.0,150
SVALIAVSKYI RAION,1744.0,154
TIACHIVSKYI RAION,727.0,187
UZHHORODSKYI RAION,764.0,473
KHUSTSKYI RAION,214.0,50
ZAPORIZHZHIA (miskrada),9892.0,262885
BERDIANSK (miskrada),1166.0,47938
m. ENERHODAR,630.0,12772
m. MELITOPOL,1270.0,63863
m. TOKMAK,715.0,5239
BERDIANSKYI RAION,562.0,4495
VILNIANSKYI RAION,1606.0,2108
VASYLIVSKYI RAION,1309.0,7165
VELYKOBILOZERSKYI RAION,170.0,113
VESELIVSKYI RAION,566.0,2551
HULIAIPILSKYI RAION,692.0,454
ZAPORIZKYI RAION,1378.0,1867
KAMIANSKO-DNIPROVSKYI RAION,564.0,7122
KUIBYSHEVSKYI RAION,669.0,538
MELITOPOLSKYI RAION,614.0,15692
MYKHAILIVSKYI RAION,685.0,3470
NOVOMYKOLAIVSKYI RAION,363.0,232
ORIKHIVSKYI RAION,1232.0,985
POLOHIVSKYI RAION,646.0,809
PRYAZOVSKYI RAION,401.0,9048
PRYMORSKYI RAION,421.0,11888
ROZIVSKYI RAION,526.0,862
TOKMATSKYI RAION,969.0,2252
CHERNIHIVSKYI RAION,581.0,359
YAKYMIVSKYI RAION,717.0,9462
IVANO-FRANKIVSK (miskrada),2571.0,2392
BOLEKHIV (miskrada),146.0,21
m. KALUSH,538.0,154
m. KOLOMYIA,767.0,438
YAREMCHE (miskrada),69.0,12
BOHORODCHANSKYI RAION,124.0,23
VERKHOVYNSKYI RAION,25.0,12
HALYTSKYI RAION,237.0,48
HORODENKIVSKYI RAION,104.0,20
DOLYNSKYI RAION,389.0,82
KALUSKYI RAION,56.0,15
KOLOMYISKYI RAION,221.0,51
KOSIVSKYI RAION,221.0,31
NADVIRNIANSKYI RAION,306.0,126
ROHATYNSKYI RAION,90.0,18
ROZHNIATIVSKYI RAION,91.0,26
SNIATYNSKYI RAION,146.0,33
TYSMENYTSKYI RAION,169.0,31
TLUMATSKYI RAION,125.0,15
m. BILA TSERKVA,2783.0,5909
m. BEREZAN,308.0,585
BORYSPIL (miskrada),685.0,1496
m. BROVARY,1457.0,2885
m. VASYLKIV,565.0,1371
IRPIN (miskrada),1959.0,4060
m. PEREIASLAV-KHMELNYTSKYI,474.0,243
m. RZHYSHCHIV,122.0,83
m. SLAVUTYCH,323.0,3278
m. FASTIV,855.0,1038
BARYSHIVSKYI RAION,452.0,237
BILOTSERKIVSKYI RAION,354.0,382
BOHUSLAVSKYI RAION,332.0,140
BORYSPILSKYI RAION,527.0,366
BORODIANSKYI RAION,1241.0,557
BROVARSKYI RAION,587.0,354
VASYLKIVSKYI RAION,619.0,597
VOLODARSKYI RAION,163.0,90
VYSHHORODSKYI RAION,772.0,2339
ZGHURIVSKYI RAION,220.0,101
IVANKIVSKYI RAION,300.0,226
KAHARLYTSKYI RAION,340.0,237
KYIEVO-SVIATOSHYNSKYI RAION,2037.0,3709
MAKARIVSKYI RAION,595.0,413
MYRONIVSKYI RAION,395.0,273
OBUKHIVSKYI RAION,913.0,2622
PEREIASLAV-KHMELNYTSKYI RAION,317.0,211
POLISKYI RAION,130.0,38
ROKYTNIANSKYI RAION,192.0,108
SKVYRSKYI RAION,398.0,119
STAVYSHCHENSKYI RAION,163.0,57
TARASHCHANSKYI RAION,203.0,111
TETIIVSKYI RAION,227.0,90
FASTIVSKYI RAION,335.0,180
YAHOTYNSKYI RAION,489.0,290
KIROVOHRAD (miskrada),4543.0,22997
ZNAMIANKA (miskrada),633.0,2452
