,,,,
Name,Ukrainian,Russian,,1
DZHANKOISKYI RAION,323,19145,,
KIROVSKYI RAION,66,7991,,
KRASNOHVARDIISKYI RAION,189,19573,,
KRASNOPEREKOPSKYI RAION,112,6444,,
LENINSKYI RAION,78,10945,,
NYZHNOHIRSKYI RAION,70,12743,,
PERVOMAISKYI RAION,118,9507,,
ROZDOLNENSKYI RAION,145,8567,,
SAKSKYI RAION,161,15712,,
SIMFEROPOLSKYI RAION,238,26447,,
SOVIETSKYI RAION,72,5988,,
CHORNOMORSKYI RAION,130,6299,,
m. VINNYTSIA,6474,18670,,
m. ZHMERYNKA,557,877,,
KOZIATYN (miskrada),676,378,,
LADYZHYN (miskrada),279,699,,
MOHYLIV-PODILSKYI (miskrada),463,785,,
m. KHMILNYK,528,127,,
BARSKYI RAION,600,164,,
BERSHADSKYI RAION,519,203,,
VINNYTSKYI RAION,543,291,,
HAISYNSKYI RAION,669,549,,
ZHMERYNSKYI RAION,185,112,,
ILLINETSKYI RAION,251,86,,
KALYNIVSKYI RAION,517,214,,
KOZIATYNSKYI RAION,945,106,,
KRYZHOPILSKYI RAION,197,78,,
LYPOVETSKYI RAION,210,45,,
LITYNSKYI RAION,281,71,,
MOHYLIV-PODILSKYI RAION,184,91,,
MUROVANOKURYLOVETSKYI RAION,123,62,,
NEMYRIVSKYI RAION,363,134,,
ORATIVSKYI RAION,107,39,,
PISHCHANSKYI RAION,207,122,,
POHREBYSHCHENSKYI RAION,171,71,,
TEPLYTSKYI RAION,158,54,,
TOMASHPILSKYI RAION,292,198,,
TROSTIANETSKYI RAION,154,175,,
TULCHYNSKYI RAION,574,355,,
TYVRIVSKYI RAION,579,167,,
KHMILNYTSKYI RAION,276,52,,
CHERNIVETSKYI RAION,63,27,,
CHECHELNYTSKYI RAION,170,65,,
SHARHORODSKYI RAION,269,127,,
YAMPILSKYI RAION,294,143,,
LUHANSK (miskrada),2836,190974,,
ANTRATSYT (miskrada),325,34448,,
BRIANKA (miskrada),197,26581,,
KIROVSK (miskrada),221,17648,,
KRASNYI LUCH (miskrada),478,50342,,
KRASNODON (miskrada),258,32930,,
LYSYCHANSK (miskrada),1580,44700,,
PERVOMAISK (miskrada),827,24724,,
ROVENKY (miskrada),541,41277,,
SVERDLOVSK (miskrada),475,38864,,
SIEVERODONETSK (miskrada),987,42673,,
STAKHANOV (miskrada),605,37289,,
m. ALCHEVSK,601,46642,,
m. RUBIZHNE,425,19198,,
ANTRATSYTIVSKYI RAION,338,6805,,
