"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
56,240,"UKR","Ukraine",3,"Chernivtsi",56,"Sokyrians'kyi","Raion","District",NA,"Sokyryanskyi"
57,240,"UKR","Ukraine",3,"Chernivtsi",57,"Storozhynets'kyi","Raion","District",NA,"Storozhynetskyi"
58,240,"UKR","Ukraine",3,"Chernivtsi",58,"Vyzhnyts'kyi","Raion","District",NA,"Vyzhnytskyi"
59,240,"UKR","Ukraine",3,"Chernivtsi",59,"Zastavnets'kyi","Raion","District",NA,"Zastavnenskyi"
60,240,"UKR","Ukraine",4,"Crimea",60,"Alushtyns'ka","Mis'ka Rada","Mis'ka Rada",NA,"Alushta"
61,240,"UKR","Ukraine",4,"Crimea",61,"Bakhchysarais'kyi","Raion","District",NA,"Baghchasaray"
62,240,"UKR","Ukraine",4,"Crimea",62,"Bilohirs'kyi","Raion","Raion",NA,"Belogorskiy"
63,240,"UKR","Ukraine",4,"Crimea",63,"Chornomors'kyi","Raion","Raion",NA,"Chornomorskiy"
64,240,"UKR","Ukraine",4,"Crimea",64,"Dzhankois'ka","Misto","City",NA,"Dzhankoy"
65,240,"UKR","Ukraine",4,"Crimea",65,"Dzhankois'kyi","Raion","Raion",NA,NA
66,240,"UKR","Ukraine",4,"Crimea",66,"Feodosiis'ka","Misto","City",NA,"Feodosiya"
67,240,"UKR","Ukraine",4,"Crimea",67,"Ialtyns'ka","Misto","City",NA,"Yalta"
68,240,"UKR","Ukraine",4,"Crimea",68,"Ievpatoriis'ka","Misto","City",NA,NA
69,240,"UKR","Ukraine",4,"Crimea",69,"Kerchens'ka","Misto","City",NA,"Kerch"
70,240,"UKR","Ukraine",4,"Crimea",70,"Kirovs'kyi","Raion","Raion",NA,"Kirovskiy"
71,240,"UKR","Ukraine",4,"Crimea",71,"Krasnohvardiis'kyi","Raion","Raion",NA,"Krasnohvardiyske"
72,240,"UKR","Ukraine",4,"Crimea",72,"Krasnoperekops'kyi","Raion","District",NA,"Krasnoperekopsk"
73,240,"UKR","Ukraine",4,"Crimea",73,"Lenins'kyi","Raion","Raion",NA,"Leninskiy"
74,240,"UKR","Ukraine",4,"Crimea",74,"Nyzhn'ohirs'kyi","Raion","Raion",NA,"Nizhnegorskiy"
75,240,"UKR","Ukraine",4,"Crimea",75,"Pervomais'kyi","Raion","Raion",NA,"Pervomaiskiy"
76,240,"UKR","Ukraine",4,"Crimea",76,"Rozdol'nens'kyi","Raion","Raion",NA,"Rozdolnenskiy"
77,240,"UKR","Ukraine",4,"Crimea",77,"Saks'ka","Misto","City",NA,"Saq-city"
78,240,"UKR","Ukraine",4,"Crimea",78,"Saks'kyi","Raion","District",NA,"Saq"
79,240,"UKR","Ukraine",4,"Crimea",79,"Simferopol's'ka","Mis'ka Rada","Mis'ka Rada",NA,"Simferopol city"
80,240,"UKR","Ukraine",4,"Crimea",80,"Simferopol's'kyi","Raion","District",NA,"Simferopol"
81,240,"UKR","Ukraine",4,"Crimea",81,"Soviets'kyi","Raion","Raion",NA,"Sovetskiy"
82,240,"UKR","Ukraine",4,"Crimea",82,"Sudats'ka","Misto","City",NA,"Sudak"
83,240,"UKR","Ukraine",5,"Dnipropetrovs'k",83,"Apostolivs'kyi","Raion","District",NA,"Apostolovskyi"
84,240,"UKR","Ukraine",5,"Dnipropetrovs'k",84,"Dniprodzerzhyns'ka","Mis'ka Rada","Mis'ka Rada",NA,"Dniprodzerzhinsk"
85,240,"UKR","Ukraine",5,"Dnipropetrovs'k",85,"Dnipropetrovs'ka","Mis'ka Rada","Mis'ka Rada",NA,"Dnipropetrovsk"
86,240,"UKR","Ukraine",5,"Dnipropetrovs'k",86,"Dnipropetrovs'kyi","Raion","District",NA,"Dnipropetrovskyi"
87,240,"UKR","Ukraine",5,"Dnipropetrovs'k",87,"Iurïvs'kyi","Raion","District",NA,"Yuriivskyi"
88,240,"UKR","Ukraine",5,"Dnipropetrovs'k",88,"Krynychans'kyi","Raion","District",NA,"Krynychanskyi"
89,240,"UKR","Ukraine",5,"Dnipropetrovs'k",89,"Kryvoriz'kyi","Raion","District",NA,"Kryvorizkyi"
90,240,"UKR","Ukraine",5,"Dnipropetrovs'k",90,"KryvyiRig","Misto","City",NA,NA
91,240,"UKR","Ukraine",5,"Dnipropetrovs'k",91,"Mahdalynivs'kyi","Raion","District",NA,"Magdalynivskyi"
92,240,"UKR","Ukraine",5,"Dnipropetrovs'k",92,"Marhanets'ka","Mis'ka Rada","Mis'ka Rada",NA,"Marhanets"
93,240,"UKR","Ukraine",5,"Dnipropetrovs'k",93,"Mezhivs'kyi","Raion","District",NA,"Mezhovyi"
94,240,"UKR","Ukraine",5,"Dnipropetrovs'k",94,"Nikopol's'ka","Misto","City",NA,NA
95,240,"UKR","Ukraine",5,"Dnipropetrovs'k",95,"Nikopol's'kyi","Raion","District",NA,"Nikopolskyi"
96,240,"UKR","Ukraine",5,"Dnipropetrovs'k",96,"Novomoskovs'ka","Misto","City",NA,"Novomoskovsk"
97,240,"UKR","Ukraine",5,"Dnipropetrovs'k",97,"Novomoskovs'kyi","Raion","District",NA,"Novomoskovskyi"
98,240,"UKR","Ukraine",5,"Dnipropetrovs'k",98,"Ordzhonikidzevs'ka","Misto","City",NA,"Ordzhonikidze"
99,240,"UKR","Ukraine",5,"Dnipropetrovs'k",99,"Pavlograd","Misto","City",NA,NA
100,240,"UKR","Ukraine",5,"Dnipropetrovs'k",100,"Pavlohrads'kyi","Raion","District",NA,"Pavlogradskyi"
