 , .1,Whole population
 ,AMVROSIIVSKYI RAION,54939.0
 ,ARTEMIVSKYI RAION,54065.0
 ,VELYKONOVOSILKIVSKYI RAION,49323.0
 ,VOLNOVASKYI RAION,92489.0
 ,VOLODARSKYI RAION,31168.0
 ,DOBROPILSKYI RAION,20659.0
 ,KOSTIANTYNIVSKYI RAION,21132.0
 ,KRASNOARMIISKYI RAION,37567.0
 ,KRASNOLYMANSKYI RAION,24974.0
 ,MARINSKYI RAION,90045.0
 ,NOVOAZOVSKYI RAION,38902.0
 ,OLEKSANDRIVSKYI RAION,23036.0
 ,PERSHOTRAVNEVYI RAION,29312.0
 ,SLOVIANSKYI RAION,39188.0
 ,STAROBESHIVSKYI RAION,55952.0
 ,TELMANIVSKYI RAION,35365.0
 ,SHAKHTARSKYI RAION,24262.0
 ,YASYNUVATSKYI RAION,30326.0
 ,m. ZHYTOMYR,282823.0
 ,m. BERDYCHIV,87193.0
 ,m. KOROSTEN,66850.0
 ,m. NOVOHRAD-VOLYNSKYI,56555.0
 ,ANDRUSHIVSKYI RAION,38769.0
 ,BARANIVSKYI RAION,45964.0
 ,BERDYCHIVSKYI RAION,34559.0
 ,BRUSYLIVSKYI RAION,18165.0
 ,VOLODARSKO-VOLYNSKYI RAION,38616.0
 ,YEMILCHYNSKYI RAION,42160.0
 ,ZHYTOMYRSKYI RAION,66922.0
 ,KOROSTENSKYI RAION,34297.0
 ,KOROSTYSHIVSKYI RAION,43238.0
 ,LUHYNSKYI RAION,20858.0
 ,LIUBARSKYI RAION,31154.0
 ,MALYNSKYI RAION,52147.0
 ,NARODYTSKYI RAION,11395.0
 ,NOVOHRAD-VOLYNSKYI RAION,52872.0
 ,OVRUTSKYI RAION,67876.0
 ,OLEVSKYI RAION,47028.0
 ,POPILNIANSKYI RAION,37082.0
 ,RADOMYSHLSKYI RAION,42259.0
 ,DZERZHYNSKYI RAION,33259.0
 ,RUZHYNSKYI RAION,34372.0
 ,CHERVONOARMIISKYI RAION,25964.0
 ,CHERNIAKHIVSKYI RAION,33668.0
 ,CHUDNIVSKYI RAION,43248.0
 ,m. UZHHOROD,115568.0
 ,m. MUKACHEVE,81637.0
 ,KHUST (miskrada),31864.0
 ,BEREHOVE (miskrada),26554.0
 ,BEREHIVSKYI RAION,54062.0
 ,VELYKOBEREZNIANSKYI RAION,28211.0
 ,VYNOHRADIVSKYI RAION,117957.0
 ,VOLOVETSKYI RAION,25474.0
 ,IRSHAVSKYI RAION,100905.0
 ,MIZHHIRSKYI RAION,49890.0
 ,MUKACHIVSKYI RAION,101443.0
 ,PERECHYNSKYI RAION,32026.0
 ,RAKHIVSKYI RAION,90945.0
 ,SVALIAVSKYI RAION,54869.0
 ,TIACHIVSKYI RAION,171850.0
 ,UZHHORODSKYI RAION,74399.0
 ,KHUSTSKYI RAION,96960.0
 ,ZAPORIZHZHIA (miskrada),813250.0
 ,BERDIANSK (miskrada),125026.0
 ,m. ENERHODAR,56180.0
 ,m. MELITOPOL,160352.0
 ,m. TOKMAK,36760.0
