 , .1,Whole population
 ,SHPOLIANSKYI RAION,51959.0
 ,m. CHERNIVTSI,236691.0
 ,m. NOVODNISTROVSK,10344.0
 ,VYZHNYTSKYI RAION,59993.0
 ,HERTSAIVSKYI RAION,32316.0
 ,HLYBOTSKYI RAION,72676.0
 ,ZASTAVNIVSKYI RAION,56261.0
 ,KITSMANSKYI RAION,72884.0
 ,KELMENETSKYI RAION,48468.0
 ,NOVOSELYTSKYI RAION,87461.0
 ,PUTYLSKYI RAION,25352.0
 ,SOKYRIANSKYI RAION,48889.0
 ,STOROZHYNETSKYI RAION,95295.0
 ,KHOTYNSKYI RAION,72398.0
 ,m. CHERNIHIV,299038.0
 ,m. NIZHYN,76059.0
 ,m. PRYLUKY,64069.0
 ,BAKHMATSKYI RAION,55820.0
 ,BOBROVYTSKYI RAION,40993.0
 ,BORZNIANSKYI RAION,43555.0
 ,VARVYNSKYI RAION,19974.0
 ,HORODNIANSKYI RAION,36349.0
 ,ICHNIANSKYI RAION,40945.0
 ,KOZELETSKYI RAION,61636.0
 ,KOROPSKYI RAION,32139.0
 ,KORIUKIVSKYI RAION,33558.0
 ,KULYKIVSKYI RAION,22472.0
 ,MENSKYI RAION,45408.0
 ,NIZHYNSKYI RAION,36708.0
 ,NOVHOROD-SIVERSKYI RAION,36031.0
 ,NOSIVSKYI RAION,37439.0
 ,PRYLUTSKYI RAION,45127.0
 ,RIPKYNSKYI RAION,37547.0
 ,SEMENIVSKYI RAION,23465.0
 ,SOSNYTSKYI RAION,24715.0
 ,SRIBNIANSKYI RAION,14534.0
 ,TALALAIVSKYI RAION,16583.0
 ,CHERNIHIVSKYI RAION,61463.0
 ,SHCHORSKYI RAION,30438.0
 ,m. KYIV,2566953.0
 ,SEVASTOPOL (miskrada),377153.0
