ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,HASC_2,CCN_2,CCA_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,Name,Ukrainian,Russian,prev_name,Whole population
240,UKR,Ukraine,2,Chernihiv,31,koriukivskyi,UA.CH.KK,0,,Raion,District,,Koryukivskyi,koriukivskyi,96.93,2.81,KORIUKIVSKYI RAION,33558.0
240,UKR,Ukraine,2,Chernihiv,32,koropskyi,UA.CH.KP,0,,Raion,District,,Koropskyi,koropskyi,97.8,2.02,KOROPSKYI RAION,32139.0
240,UKR,Ukraine,2,Chernihiv,33,kozeletskyi,UA.CH.KZ,0,,Raion,District,,Kozeletskyi,kozeletskyi,95.77,3.84,KOZELETSKYI RAION,61636.0
240,UKR,Ukraine,2,Chernihiv,34,kulykivskyi,UA.CH.KU,0,,Raion,District,,Kulykivskyi,kulykivskyi,97.97,1.71,KULYKIVSKYI RAION,22472.0
240,UKR,Ukraine,2,Chernihiv,35,menskyi,UA.CH.ME,0,,Raion,District,,Menskyi,menskyi,97.54,2.14,MENSKYI RAION,45408.0
240,UKR,Ukraine,2,Chernihiv,36,nizhynska,UA.CH.NM,0,,Misto,City,,,nizhynska,89.54,8.89,m. NIZHYN,76059.0
240,UKR,Ukraine,2,Chernihiv,37,nizhynskyi,UA.CH.NR,0,,Raion,District,,Nizhynskyi,nizhynskyi,98.51,1.34,NIZHYNSKYI RAION,36708.0
240,UKR,Ukraine,2,Chernihiv,38,nosivskyi,UA.CH.NO,0,,Raion,District,,Nosivskyi,nosivskyi,97.92,1.71,NOSIVSKYI RAION,37439.0
240,UKR,Ukraine,2,Chernihiv,39,novhorod-siverskyi,UA.CH.NS,0,,Raion,District,,NovgorodSiverskyi,novhorod-siverskyi,63.93,35.93,NOVHOROD-SIVERSKYI RAION,36031.0
240,UKR,Ukraine,2,Chernihiv,40,prylutska,UA.CH.PM,0,,Misto,City,,,prylutska,92.91,6.77,m. PRYLUKY,64069.0
240,UKR,Ukraine,2,Chernihiv,41,prylutskyi,UA.CH.PR,0,,Raion,District,,Prylutskyi,prylutskyi,97.23,2.44,PRYLUTSKYI RAION,45127.0
240,UKR,Ukraine,2,Chernihiv,42,ripkynskyi,UA.CH.RI,0,,Raion,District,,Ripchanskyi,ripkynskyi,87.64,11.4,RIPKYNSKYI RAION,37547.0
240,UKR,Ukraine,2,Chernihiv,43,semenivskyi,UA.CH.SE,0,,Raion,District,,Semenivskyi,semenivskyi,97.26,2.15,SEMENIVSKYI RAION,32667.0
240,UKR,Ukraine,2,Chernihiv,43,semenivskyi,UA.CH.SE,0,,Raion,District,,Semenivskyi,semenivskyi,97.26,2.15,SEMENIVSKYI RAION,23465.0
240,UKR,Ukraine,2,Chernihiv,43,semenivskyi,UA.CH.SE,0,,Raion,District,,Semenivskyi,semenivskyi,80.37,19.39,SEMENIVSKYI RAION,32667.0
240,UKR,Ukraine,2,Chernihiv,43,semenivskyi,UA.CH.SE,0,,Raion,District,,Semenivskyi,semenivskyi,80.37,19.39,SEMENIVSKYI RAION,23465.0
240,UKR,Ukraine,2,Chernihiv,44,shchorskyi,UA.CH.SH,0,,Raion,District,,Schorskyi,shchorskyi,89.36,10.3,SHCHORSKYI RAION,30438.0
240,UKR,Ukraine,2,Chernihiv,45,sosnytskyi,UA.CH.SO,0,,Raion,District,,Sosnytskyi,sosnytskyi,98.4,1.44,SOSNYTSKYI RAION,24715.0
240,UKR,Ukraine,2,Chernihiv,46,sribnianskyi,UA.CH.SR,0,,Raion,District,,Sribnyanskyi,sribnianskyi,98.32,1.54,SRIBNIANSKYI RAION,14534.0
240,UKR,Ukraine,2,Chernihiv,47,talala‹vskyi,UA.CH.TA,0,,Raion,District,,Talalayivskyi,talala‹vskyi,97.95,1.89,TALALAIVSKYI RAION,16583.0
240,UKR,Ukraine,2,Chernihiv,48,varvynskyi,UA.CH.VA,0,,Raion,District,,Varvenskyi,varvynskyi,96.98,2.71,VARVYNSKYI RAION,19974.0
240,UKR,Ukraine,3,Chernivtsi,49,chernivetska,UA.CV.CH,0,,Misto,City,,Chernivtsi,chernivetska,99.22,0.64,CHERNIVETSKYI RAION,28660.0
