"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
47,240,"UKR","Ukraine",2,"Chernihiv",47,"Talala‹vs'kyi","UA.CH.TA",NA,"","Raion","District","","Talalayivskyi"
48,240,"UKR","Ukraine",2,"Chernihiv",48,"Varvyns'kyi","UA.CH.VA",NA,"","Raion","District","","Varvenskyi"
49,240,"UKR","Ukraine",3,"Chernivtsi",49,"Chernivets'ka","UA.CV.CH",NA,"","Misto","City","","Chernivtsi"
50,240,"UKR","Ukraine",3,"Chernivtsi",50,"Hlybots'kyi","UA.CV.HL",NA,"","Raion","District","",""
51,240,"UKR","Ukraine",3,"Chernivtsi",51,"Kel'menets'kyi","UA.CV.KE",NA,"","Raion","District","","Kelmenetskyi"
52,240,"UKR","Ukraine",3,"Chernivtsi",52,"Khotyns'kyi","UA.CV.KH",NA,"","Raion","District","","Khotynskyi"
53,240,"UKR","Ukraine",3,"Chernivtsi",53,"Kitsmans'kyi","UA.CV.KI",NA,"","Raion","District","","Kitsmanskyi"
54,240,"UKR","Ukraine",3,"Chernivtsi",54,"Novoselits'kyi","UA.CV.NS",NA,"","Raion","District","","Novoselytskyi"
55,240,"UKR","Ukraine",3,"Chernivtsi",55,"Putyl's'kyi","UA.CV.PU",NA,"","Raion","District","","Putylskyi"
56,240,"UKR","Ukraine",3,"Chernivtsi",56,"Sokyrians'kyi","UA.CV.SO",NA,"","Raion","District","","Sokyryanskyi"
57,240,"UKR","Ukraine",3,"Chernivtsi",57,"Storozhynets'kyi","UA.CV.ST",NA,"","Raion","District","","Storozhynetskyi"
58,240,"UKR","Ukraine",3,"Chernivtsi",58,"Vyzhnyts'kyi","UA.CV.VY",NA,"","Raion","District","","Vyzhnytskyi"
59,240,"UKR","Ukraine",3,"Chernivtsi",59,"Zastavnets'kyi","UA.CV.ZA",NA,"","Raion","District","","Zastavnenskyi"
60,240,"UKR","Ukraine",4,"Crimea",60,"Alushtyns'ka","UA.KR.AL",NA,"","Mis'ka Rada","Mis'ka Rada","","Alushta"
61,240,"UKR","Ukraine",4,"Crimea",61,"Bakhchysarais'kyi","UA.KR.BA",NA,"","Raion","District","","Baghchasaray"
62,240,"UKR","Ukraine",4,"Crimea",62,"Bilohirs'kyi","UA.KR.BI",NA,"","Raion","Raion","","Belogorskiy"
63,240,"UKR","Ukraine",4,"Crimea",63,"Chornomors'kyi","UA.KR.CH",NA,"","Raion","Raion","","Chornomorskiy"
64,240,"UKR","Ukraine",4,"Crimea",64,"Dzhankois'ka","UA.KR.DM",NA,"","Misto","City","","Dzhankoy"
