"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
192,240,"UKR","Ukraine",8,"Kharkiv",192,"Kharkivs'kyi","UA.KK.KR",NA,"","Raion","District","","Kharkivsky"
193,240,"UKR","Ukraine",8,"Kharkiv",193,"Krasnohrads'kyi","UA.KK.KH",NA,"","Raion","District","","Kkasnohrad"
194,240,"UKR","Ukraine",8,"Kharkiv",194,"Krasnokuts'kyi","UA.KK.KK",NA,"","Raion","District","","Krasnokutsk"
195,240,"UKR","Ukraine",8,"Kharkiv",195,"Kupians'ka","UA.KK.KP",NA,"","Mis'ka Rada","Mis'ka Rada","",""
196,240,"UKR","Ukraine",8,"Kharkiv",196,"Kupians'kyi","UA.KK.KU",NA,"","Raion","District","","Kup'yansk"
197,240,"UKR","Ukraine",8,"Kharkiv",197,"Lozivs'ka","UA.KK.LM",NA,"","Mis'ka Rada","Mis'ka Rada","",""
198,240,"UKR","Ukraine",8,"Kharkiv",198,"Lozivs'kyi","UA.KK.LR",NA,"","Raion","District","","Lozova"
199,240,"UKR","Ukraine",8,"Kharkiv",199,"n.a. ( 180)","",NA,"","","","",""
200,240,"UKR","Ukraine",8,"Kharkiv",200,"Novovodolaz'kyi","UA.KK.NO",NA,"","Raion","District","","Nova Vodolaha"
201,240,"UKR","Ukraine",8,"Kharkiv",201,"Pecheniz'kyi","UA.KK.PC",NA,"","Raion","District","","Pechenizkyi"
202,240,"UKR","Ukraine",8,"Kharkiv",202,"Pervomais'kyi","UA.KK.PR",NA,"","Raion","District","","Pervomaisk"
203,240,"UKR","Ukraine",8,"Kharkiv",203,"Sakhnovshchyns'kyi","UA.KK.SA",NA,"","Raion","District","","Sakhnovschyna"
204,240,"UKR","Ukraine",8,"Kharkiv",204,"Shevchenkivs'kyi","UA.KK.SH",NA,"","Raion","District","","Shevchenkove"
205,240,"UKR","Ukraine",8,"Kharkiv",205,"Valkivs'kyi","UA.KK.VA",NA,"","Raion","District","","Valky"
206,240,"UKR","Ukraine",8,"Kharkiv",206,"Velykoburluts'kyi","UA.KK.VE",NA,"","Raion","District","","Velykyburluk"
207,240,"UKR","Ukraine",8,"Kharkiv",207,"Vovchans'kyi","UA.KK.VO",NA,"","Raion","District","","Vovchansk"
208,240,"UKR","Ukraine",8,"Kharkiv",208,"Zachepylivs'kyi","UA.KK.ZA",NA,"","Raion","District","","Zachepylivka"
209,240,"UKR","Ukraine",8,"Kharkiv",209,"Zmiïvs'kyi","UA.KK.ZM",NA,"","Raion","District","","Zmiyiv"
210,240,"UKR","Ukraine",8,"Kharkiv",210,"Zolochivs'kyi","UA.KK.ZO",NA,"","Raion","District","","Zolochiv"
211,240,"UKR","Ukraine",9,"Kherson",211,"Beryslavs'kyi","UA.KS.BE",NA,"","Raion","District","","Beryslavskyi"
212,240,"UKR","Ukraine",9,"Kherson",212,"Bilozers'kyi","UA.KS.BI",NA,"","Raion","District","","Bilozerskyi"
213,240,"UKR","Ukraine",9,"Kherson",213,"Chaplyns'kyi","UA.KS.CH",NA,"","Raion","District","","Chaplynskyi"
214,240,"UKR","Ukraine",9,"Kherson",214,"Heniches'kyi","UA.KS.HE",NA,"","Raion","District","","Genicheskyi"
215,240,"UKR","Ukraine",9,"Kherson",215,"Holoprystans'kyi","UA.KS.HL",NA,"","Raion","District","","Goloprystanskyi"
216,240,"UKR","Ukraine",9,"Kherson",216,"Hornosta‹vs'kyi","UA.KS.HR",NA,"","Raion","District","","Gornostaivskyi"
217,240,"UKR","Ukraine",9,"Kherson",217,"Ivanivs'kyi","UA.KS.IV",NA,"","Raion","District","","Ivanivskyi-Her"
218,240,"UKR","Ukraine",9,"Kherson",218,"Kakhovs'kyi","UA.KS.KR",NA,"","Raion","District","","Kahovskyi"
219,240,"UKR","Ukraine",9,"Kherson",219,"Kalanchats'kyi","UA.KS.KC",NA,"","Raion","District","","Kalanchatskyi"
220,240,"UKR","Ukraine",9,"Kherson",220,"Khersons'ka","UA.KS.KH",NA,"","Mis'ka Rada","Mis'ka Rada","","Kherson"
221,240,"UKR","Ukraine",9,"Kherson",221,"Novokahovs'ka","UA.KS.NK",NA,"","Mis'ka Rada","Mis'ka Rada","","NovaKakhovka"
222,240,"UKR","Ukraine",9,"Kherson",222,"Novotro‹ts'kyi","UA.KS.NT",NA,"","Raion","District","","Novotroitskyi"
223,240,"UKR","Ukraine",9,"Kherson",223,"Novovorontsovs'kyi","UA.KS.NV",NA,"","Raion","District","","Novovorontsovskyi"
224,240,"UKR","Ukraine",9,"Kherson",224,"Nyzhn'osirohoz'kyi","UA.KS.NY",NA,"","Raion","District","","Nyzhnyosirogizkyi"
225,240,"UKR","Ukraine",9,"Kherson",225,"Skadovs'kyi","UA.KS.SK",NA,"","Raion","District","","Skadovskyi"
226,240,"UKR","Ukraine",9,"Kherson",226,"Tsiurupyns'kyi","UA.KS.TS",NA,"","Raion","District","","Tsyurupinskyi"
227,240,"UKR","Ukraine",9,"Kherson",227,"Velykolepetys'kyi","UA.KS.VL",NA,"","Raion","District","","Velykolepetynskyi"
228,240,"UKR","Ukraine",9,"Kherson",228,"Velykooleksandrivs'kyi","UA.KS.VO",NA,"","Raion","District","","Velykooleksandriv"
229,240,"UKR","Ukraine",9,"Kherson",229,"Verkhn'orohachyts'kyi","UA.KS.VR",NA,"","Raion","District","","Verhnyerogachytsk"
230,240,"UKR","Ukraine",9,"Kherson",230,"Vysokopil's'kyi","UA.KS.VY",NA,"","Raion","District","","Vysokopilskyi"
231,240,"UKR","Ukraine",10,"Khmel'nyts'kyy",231,"Bilohirs'kyi","UA.KM.BI",NA,"","Raion","District","","Bilogirskyi"
232,240,"UKR","Ukraine",10,"Khmel'nyts'kyy",232,"Chemerovets'kyi","UA.KM.CH",NA,"","Raion","District","","Chemerivskyi"
233,240,"UKR","Ukraine",10,"Khmel'nyts'kyy",233,"Derazhnians'kyi","UA.KM.DE",NA,"","Raion","District","","Derazhnyanskyi"
234,240,"UKR","Ukraine",10,"Khmel'nyts'kyy",234,"Dunaievets'kyi","UA.KM.DU",NA,"","Raion","District","","Dunayivskyi"
235,240,"UKR","Ukraine",10,"Khmel'nyts'kyy",235,"Horodots'kyi","UA.KM.HO",NA,"","Raion","District","","Gorodotskyi-Khm"
236,240,"UKR","Ukraine",10,"Khmel'nyts'kyy",236,"Iarmolynets'kyi","UA.KM.IA",NA,"","Raion","District","","Yarmolynetskyi"
237,240,"UKR","Ukraine",10,"Khmel'nyts'kyy",237,"Iziaslavs'kyi","UA.KM.IZ",NA,"","Raion","District","","Izyaslavskyi"
238,240,"UKR","Ukraine",10,"Khmel'nyts'kyy",238,"Kamianets'-Podil's'ka","UA.KM.KA",NA,"","Misto","City","",""
239,240,"UKR","Ukraine",10,"Khmel'nyts'kyy",239,"Kamianets'-Podil's'kyi","UA.KM.KP",NA,"","Raion","District","","KamyanetsPodilsky"
240,240,"UKR","Ukraine",10,"Khmel'nyts'kyy",240,"Khmel'nyts'ka","UA.KM.KM",NA,"","Misto","City","","Khmelnytskyi-Cit"
241,240,"UKR","Ukraine",10,"Khmel'nyts'kyy",241,"Khmel'nyts'kyi","UA.KM.KR",NA,"","Raion","District","","Khmelnytskyi"
242,240,"UKR","Ukraine",10,"Khmel'nyts'kyy",242,"Krasylivs'kyi","UA.KM.KL",NA,"","Raion","District","","Krasylivskyi"
243,240,"UKR","Ukraine",10,"Khmel'nyts'kyy",243,"Letychivs'kyi","UA.KM.LE",NA,"","Raion","District","","Letychivskyi"
244,240,"UKR","Ukraine",10,"Khmel'nyts'kyy",244,"Novoushyts'kyi","UA.KM.NO",NA,"","Raion","District","","Novoushytskyi"
245,240,"UKR","Ukraine",10,"Khmel'nyts'kyy",245,"Polons'kyi","UA.KM.PO",NA,"","Raion","District","","Polonyanskyi"
246,240,"UKR","Ukraine",10,"Khmel'nyts'kyy",246,"Shepetivs'ka","UA.KM.SP",NA,"","Misto","City","",""
247,240,"UKR","Ukraine",10,"Khmel'nyts'kyy",247,"Shepetivs'kyi","UA.KM.SH",NA,"","Raion","District","","Shepetivskyi"
248,240,"UKR","Ukraine",10,"Khmel'nyts'kyy",248,"Slavuts'kyi","UA.KM.SL",NA,"","Raion","District","","Slavutytskyi"
249,240,"UKR","Ukraine",10,"Khmel'nyts'kyy",249,"Starokostiantynivs'kyi","UA.KM.SK",NA,"","Raion","District","","Starokostyantyniv"
250,240,"UKR","Ukraine",10,"Khmel'nyts'kyy",250,"Starosyniavs'kyi","UA.KM.SS",NA,"","Raion","District","","Starosynyavskyi"
251,240,"UKR","Ukraine",10,"Khmel'nyts'kyy",251,"Teofipol's'kyi","UA.KM.TE",NA,"","Raion","District","","Teofipolskyi"
252,240,"UKR","Ukraine",10,"Khmel'nyts'kyy",252,"Vin'kovets'kyi","UA.KM.VI",NA,"","Raion","District","","Vinkivskyi"
253,240,"UKR","Ukraine",10,"Khmel'nyts'kyy",253,"Volochys'kyi","UA.KM.VO",NA,"","Raion","District","","Volochyskyi"
254,240,"UKR","Ukraine",11,"Kiev City",254,"Darnyts'kyi","UA.KC.DA",NA,"","Raion","Raion","","Darnytskyi"
255,240,"UKR","Ukraine",11,"Kiev City",255,"Desnians'kyi","UA.KC.DE",NA,"","Raion","Raion","","Desnianskyi"
256,240,"UKR","Ukraine",11,"Kiev City",256,"Dniprovs'kyi","UA.KC.DN",NA,"","Raion","Raion","","Dniprovskyi"
257,240,"UKR","Ukraine",11,"Kiev City",257,"Holosiïvs'kyi","UA.KC.HO",NA,"","Raion","Raion","","Holosiivskyi"
258,240,"UKR","Ukraine",11,"Kiev City",258,"Obolons'kyi","UA.KC.OB",NA,"","Raion","Raion","","Obolonskyi"
259,240,"UKR","Ukraine",11,"Kiev City",259,"Pechers'kyi","UA.KC.PE",NA,"","Raion","Raion","","Pecherskyi"
260,240,"UKR","Ukraine",11,"Kiev City",260,"Podil's'kyi","UA.KC.PO",NA,"","Raion","Raion","","Podilskyi"
261,240,"UKR","Ukraine",11,"Kiev City",261,"Shevchenkivs'kyi","UA.KC.SH",NA,"","Raion","Raion","","Shevchenkivskyi"
262,240,"UKR","Ukraine",11,"Kiev City",262,"Solomians'kyi","UA.KC.SO",NA,"","Raion","Raion","","Solomianskyi"
263,240,"UKR","Ukraine",11,"Kiev City",263,"Sviatoshyns'kyi","UA.KC.SV",NA,"","Raion","Raion","","Sviatoshynskyi"
264,240,"UKR","Ukraine",12,"Kiev",264,"Baryshivs'kyi","UA.KV.BA",NA,"","Raion","District","","Baryshivskyi"
265,240,"UKR","Ukraine",12,"Kiev",265,"Bilotserkivs'ka","UA.KV.BT",NA,"","Misto","City","","BilaTserkva"
266,240,"UKR","Ukraine",12,"Kiev",266,"Bilotserkivs'kyi","UA.KV.BI",NA,"","Raion","District","","Bilotserkovskyi"
267,240,"UKR","Ukraine",12,"Kiev",267,"Bohuslavs'kyi","UA.KV.BH",NA,"","Raion","District","","Boguslavskyi"
268,240,"UKR","Ukraine",12,"Kiev",268,"Borodians'kyi","UA.KV.BD",NA,"","Raion","District","","Borodyanskyi"
269,240,"UKR","Ukraine",12,"Kiev",269,"Boryspil's'ka","UA.KV.BS",NA,"","Mis'ka Rada","Mis'ka Rada","","Boryspilskyi"
270,240,"UKR","Ukraine",12,"Kiev",270,"Brovars'ka","UA.KV.BO",NA,"","Misto","City","",""
271,240,"UKR","Ukraine",12,"Kiev",271,"Brovars'kyi","UA.KV.BV",NA,"","Raion","District","","Brovarskyi"
272,240,"UKR","Ukraine",12,"Kiev",272,"Fastivs'ka","UA.KV.FM",NA,"","Misto","City","",""
273,240,"UKR","Ukraine",12,"Kiev",273,"Fastivs'kyi","UA.KV.FR",NA,"","Raion","District","","Fastivskyi"
274,240,"UKR","Ukraine",12,"Kiev",274,"Iahotyns'kyi","UA.KV.IA",NA,"","Raion","District","","Yagotynskyi"
275,240,"UKR","Ukraine",12,"Kiev",275,"Irpins'ka","UA.KV.IR",NA,"","Mis'ka Rada","Mis'ka Rada","","Irpin"
276,240,"UKR","Ukraine",12,"Kiev",276,"Ivankivs'kyi","UA.KV.IV",NA,"","Raion","District","","Ivankivskyi"
277,240,"UKR","Ukraine",12,"Kiev",277,"Kaharlyts'kyi","UA.KV.KA",NA,"","Raion","District","","Kagarlytskyi"
278,240,"UKR","Ukraine",12,"Kiev",278,"Kyievo-Sviatoshyns'kyi","UA.KV.KY",NA,"","Raion","District","","KyevoSvyatoshynsk"
279,240,"UKR","Ukraine",12,"Kiev",279,"Makarivs'kyi","UA.KV.MA",NA,"","Raion","District","","Makarivskyi"
280,240,"UKR","Ukraine",12,"Kiev",280,"Myronivs'kyi","UA.KV.MY",NA,"","Raion","District","","Myronivskyi"
281,240,"UKR","Ukraine",12,"Kiev",281,"Obukhivs'kyi","UA.KV.OB",NA,"","Raion","District","","Obuhivskyi"
282,240,"UKR","Ukraine",12,"Kiev",282,"Pereiaslav-Khmel'nyts'ka","UA.KV.PM",NA,"","Misto","City","",""
283,240,"UKR","Ukraine",12,"Kiev",283,"Pereiaslav-Khmel'nyts'kyi","UA.KV.PR",NA,"","Raion","District","","PereyaslavHmelnyt"
284,240,"UKR","Ukraine",12,"Kiev",284,"Polis'kyi","UA.KV.PO",NA,"","Raion","District","","Poliskyi-Kyi"
285,240,"UKR","Ukraine",12,"Kiev",285,"Rokytnians'kyi","UA.KV.RO",NA,"","Raion","District","","Rokytnyanskyi"
286,240,"UKR","Ukraine",12,"Kiev",286,"Skvyrs'kyi","UA.KV.SK",NA,"","Raion","District","","Skvyrskyi"
287,240,"UKR","Ukraine",12,"Kiev",287,"Stavyshchens'kyi","UA.KV.ST",NA,"","Raion","District","","Stavyschenskyi"
288,240,"UKR","Ukraine",12,"Kiev",288,"Tarashchans'kyi","UA.KV.TA",NA,"","Raion","District","","Taraschanskyi"
289,240,"UKR","Ukraine",12,"Kiev",289,"Tetiïvs'kyi","UA.KV.TE",NA,"","Raion","District","","Tetiivskyi"
290,240,"UKR","Ukraine",12,"Kiev",290,"Vasyl'kivs'kyi","UA.KV.VR",NA,"","Raion","District","","Vasylkivskyi"
291,240,"UKR","Ukraine",12,"Kiev",291,"Volodars'kyi","UA.KV.VO",NA,"","Raion","District","","Volodarskyi-Kyi"
292,240,"UKR","Ukraine",12,"Kiev",292,"Vyshhorods'kyi","UA.KV.VY",NA,"","Raion","District","","Vyshgorodskyi"
293,240,"UKR","Ukraine",12,"Kiev",293,"Zgurivs'kyi","UA.KV.ZG",NA,"","Raion","District","","Zgurivskyi"
294,240,"UKR","Ukraine",13,"Kirovohrad",294,"Bobrynets'kyi","UA.KH.BO",NA,"","Raion","District","","Bobrynetskyi"
295,240,"UKR","Ukraine",13,"Kirovohrad",295,"Dobrovelychkivs'kyi","UA.KH.DB",NA,"","Raion","District","","Dobrovelychkivsky"
296,240,"UKR","Ukraine",13,"Kirovohrad",296,"Dolyns'kyi","UA.KH.DL",NA,"","Raion","District","","Dolynskyi-Krv"
297,240,"UKR","Ukraine",13,"Kirovohrad",297,"Haivorons'kyi","UA.KH.HA",NA,"","Raion","District","","Gayvoronskyi"
298,240,"UKR","Ukraine",13,"Kirovohrad",298,"Holovanivs'kyi","UA.KH.HO",NA,"","Raion","District","","Golovanivskyi"
299,240,"UKR","Ukraine",13,"Kirovohrad",299,"Kirovohrads'kyi","UA.KH.KR",NA,"","Raion","District","","Kirovogradskyi"
300,240,"UKR","Ukraine",13,"Kirovohrad",300,"Kompani‹vs'kyi","UA.KH.KO",NA,"","Raion","District","","Kompaniivskyi"
301,240,"UKR","Ukraine",13,"Kirovohrad",301,"Malovyskivs'kyi","UA.KH.MA",NA,"","Raion","District","","Malovyskyi"
302,240,"UKR","Ukraine",13,"Kirovohrad",302,"Novhorodkivs'kyi","UA.KH.NH",NA,"","Raion","District","","Novgorodskyi"
303,240,"UKR","Ukraine",13,"Kirovohrad",303,"Novoarkhanhel's'kyi","UA.KH.NA",NA,"","Raion","District","","Novoarhangelskyi"
304,240,"UKR","Ukraine",13,"Kirovohrad",304,"Novomyrhorods'kyi","UA.KH.NM",NA,"","Raion","District","","Novomyrgorodskyi"
305,240,"UKR","Ukraine",13,"Kirovohrad",305,"Novoukra‹ns'kyi","UA.KH.NU",NA,"","Raion","District","","Novoukrainskyi"
306,240,"UKR","Ukraine",13,"Kirovohrad",306,"Oleksandriis'kyi","UA.KH.OR",NA,"","Raion","District","","Oleksandriyskyi"
307,240,"UKR","Ukraine",13,"Kirovohrad",307,"Oleksandrivs'kyi","UA.KH.OV",NA,"","Raion","District","","Oleksandrivskyi"
308,240,"UKR","Ukraine",13,"Kirovohrad",308,"Onufri‹vs'kyi","UA.KH.ON",NA,"","Raion","District","","Onufriivskyi"
309,240,"UKR","Ukraine",13,"Kirovohrad",309,"Petrivs'kyi","UA.KH.PE",NA,"","Raion","District","","Petrovskyi-Krv"
310,240,"UKR","Ukraine",13,"Kirovohrad",310,"Svitlovods'kyi","UA.KH.SR",NA,"","Raion","District","","Svitlovodskyi-Krv"
311,240,"UKR","Ukraine",13,"Kirovohrad",311,"Ul'ianovs'kyi","UA.KH.UL",NA,"","Raion","District","","Ulyanivskyi-Krv"
312,240,"UKR","Ukraine",13,"Kirovohrad",312,"Ustynivs'kyi","UA.KH.US",NA,"","Raion","District","","Ustynivskyi"
313,240,"UKR","Ukraine",13,"Kirovohrad",313,"Vil'shans'kyi","UA.KH.VI",NA,"","Raion","District","","Vilshanskyi"
314,240,"UKR","Ukraine",13,"Kirovohrad",314,"Znamians'kyi","UA.KH.ZR",NA,"","Raion","District","","Znamyanskyi"
315,240,"UKR","Ukraine",14,"L'viv",315,"Brodivs'kyi","UA.LV.BR",NA,"","Raion","District","","Brodivskyi"
316,240,"UKR","Ukraine",14,"L'viv",316,"Bus'kyi","UA.LV.BU",NA,"","Raion","District","","Buskyi"
317,240,"UKR","Ukraine",14,"L'viv",317,"Chervonohrads'ka","UA.LV.CH",NA,"","Mis'ka Rada","Mis'ka Rada","","Chervonohrad"
318,240,"UKR","Ukraine",14,"L'viv",318,"Drohobyts'ka","UA.LV.DM",NA,"","Mis'ka Rada","Mis'ka Rada","",""
319,240,"UKR","Ukraine",14,"L'viv",319,"Drohobyts'kyi","UA.LV.DR",NA,"","Raion","District","","Drogobytskyi"
320,240,"UKR","Ukraine",14,"L'viv",320,"Horodots'kyi","UA.LV.HO",NA,"","Raion","District","","Gorodotskyi-Lvi"
321,240,"UKR","Ukraine",14,"L'viv",321,"Iavorivs'kyi","UA.LV.IA",NA,"","Raion","District","","Yavorivskyi"
322,240,"UKR","Ukraine",14,"L'viv",322,"Kamianka-Buz'kyi","UA.LV.KA",NA,"","Raion","District","","KamyankaBuzkyi"
323,240,"UKR","Ukraine",14,"L'viv",323,"L'vivs'ka","UA.LV.LV",NA,"","Mis'ka Rada","Mis'ka Rada","","Lviv"
324,240,"UKR","Ukraine",14,"L'viv",324,"Mostys'kyi","UA.LV.MS",NA,"","Raion","District","","Mostyskyi"
325,240,"UKR","Ukraine",14,"L'viv",325,"Mykola‹vs'kyi","UA.LV.MY",NA,"","Raion","District","","Mykolayivskyi-Lvi"
326,240,"UKR","Ukraine",14,"L'viv",326,"Peremyshlians'kyi","UA.LV.PE",NA,"","Raion","District","","Peremyshlyanskyi"
327,240,"UKR","Ukraine",14,"L'viv",327,"Pustomytivs'kyi","UA.LV.PU",NA,"","Raion","District","","Pustomytivskyi"
328,240,"UKR","Ukraine",14,"L'viv",328,"Radekhivs'kyi","UA.LV.RA",NA,"","Raion","District","","Radehivskyi"
329,240,"UKR","Ukraine",14,"L'viv",329,"Sambirs'ka","UA.LV.SM",NA,"","Misto","City","",""
330,240,"UKR","Ukraine",14,"L'viv",330,"Sambirs'kyi","UA.LV.SR",NA,"","Raion","District","","Sambirskyi"
331,240,"UKR","Ukraine",14,"L'viv",331,"Skolivs'kyi","UA.LV.SK",NA,"","Raion","District","","Skolevskyi"
332,240,"UKR","Ukraine",14,"L'viv",332,"Sokal's'kyi","UA.LV.SO",NA,"","Raion","District","","Sokalskyi"
333,240,"UKR","Ukraine",14,"L'viv",333,"Starosambirs'kyi","UA.LV.SS",NA,"","Raion","District","","Starosambirskyi"
334,240,"UKR","Ukraine",14,"L'viv",334,"Stryis'ka","UA.LV.SY",NA,"","Misto","City","",""
335,240,"UKR","Ukraine",14,"L'viv",335,"Stryis'kyi","UA.LV.ST",NA,"","Raion","District","","Stryyskyi"
336,240,"UKR","Ukraine",14,"L'viv",336,"Turkivs'kyi","UA.LV.TU",NA,"","Raion","District","","Turkskyi-Lvi"
337,240,"UKR","Ukraine",14,"L'viv",337,"Zhovkivs'kyi","UA.LV.ZV",NA,"","Raion","District","","Zhovkvovskyi"
338,240,"UKR","Ukraine",14,"L'viv",338,"Zhydachivs'kyi","UA.LV.ZD",NA,"","Raion","District","","Zhydachivskyi"
339,240,"UKR","Ukraine",14,"L'viv",339,"Zolochivs'kyi","UA.LV.ZO",NA,"","Raion","District","","Zolochivskyi"
340,240,"UKR","Ukraine",15,"Luhans'k",340,"Alchevs'ka","UA.LH.AL",NA,"","Misto","City","","Alchevsk"
341,240,"UKR","Ukraine",15,"Luhans'k",341,"Antratsitivs'ka","UA.LH.AM",NA,"","Mis'ka Rada","Mis'ka Rada","","Antratsyt"
342,240,"UKR","Ukraine",15,"Luhans'k",342,"Antratsytivs'kyi","UA.LH.AR",NA,"","Raion","District","","Antratsytovskyi"
343,240,"UKR","Ukraine",15,"Luhans'k",343,"Bilokurakyns'kyi","UA.LH.BK",NA,"","Raion","District","","Bilokurakinskyi"
344,240,"UKR","Ukraine",15,"Luhans'k",344,"Bilovods'kyi","UA.LH.BV",NA,"","Raion","District","","Bilovodskyi"
345,240,"UKR","Ukraine",15,"Luhans'k",345,"Briankivs'ka","UA.LH.BR",NA,"","Mis'ka Rada","Mis'ka Rada","","Brianka"
346,240,"UKR","Ukraine",15,"Luhans'k",346,"Kirovs'ka","UA.LH.KI",NA,"","Mis'ka Rada","Mis'ka Rada","","Kirovsk"
347,240,"UKR","Ukraine",15,"Luhans'k",347,"Krasnodons'ka","UA.LH.KM",NA,"","Mis'ka Rada","Mis'ka Rada","","Krasnodons'ka"
348,240,"UKR","Ukraine",15,"Luhans'k",348,"Krasnodons'kyi","UA.LH.KR",NA,"","Raion","District","","Krasnodonskyi"
349,240,"UKR","Ukraine",15,"Luhans'k",349,"Krasnoluts'ka","UA.LH.KL",NA,"","Mis'ka Rada","Mis'ka Rada","",""
350,240,"UKR","Ukraine",15,"Luhans'k",350,"Kremins'kyi","UA.LH.KN",NA,"","Raion","District","","Kreminskyi"
351,240,"UKR","Ukraine",15,"Luhans'k",351,"Luhans'ka","UA.LH.LH",NA,"","Mis'ka Rada","Mis'ka Rada","","Lugansk"
352,240,"UKR","Ukraine",15,"Luhans'k",352,"Lutuhyns'kyi","UA.LH.LT",NA,"","Raion","District","","Lutuginskyi"
353,240,"UKR","Ukraine",15,"Luhans'k",353,"Lysychans'ka","UA.LH.LY",NA,"","Mis'ka Rada","Mis'ka Rada","","Lisychansk"
354,240,"UKR","Ukraine",15,"Luhans'k",354,"Markivs'kyi","UA.LH.MA",NA,"","Raion","District","","Markivskyi-Lug"
355,240,"UKR","Ukraine",15,"Luhans'k",355,"Milovs'kyi","UA.LH.MI",NA,"","Raion","District","","Milovskyi"
356,240,"UKR","Ukraine",15,"Luhans'k",356,"n.a. ( 182)","",NA,"","","","",""
357,240,"UKR","Ukraine",15,"Luhans'k",357,"Novoaidars'kyi","UA.LH.NA",NA,"","Raion","District","","Novoaydarskyi"
358,240,"UKR","Ukraine",15,"Luhans'k",358,"Novopskovs'kyi","UA.LH.NP",NA,"","Raion","District","","Novopskovskyi"
359,240,"UKR","Ukraine",15,"Luhans'k",359,"Pereval's'kyi","UA.LH.PL",NA,"","Raion","District","","Perevalskyi"
360,240,"UKR","Ukraine",15,"Luhans'k",360,"Popasnians'kyi","UA.LH.PO",NA,"","Raion","District","","Popasnyanskyi"
361,240,"UKR","Ukraine",15,"Luhans'k",361,"Roven'kivs'ka","UA.LH.RO",NA,"","Mis'ka Rada","Mis'ka Rada","","Rovenki"
362,240,"UKR","Ukraine",15,"Luhans'k",362,"Rubezhans'ka","UA.LH.RU",NA,"","Misto","City","","Rubizhne"
363,240,"UKR","Ukraine",15,"Luhans'k",363,"Sieverodonets'ka","UA.LH.SI",NA,"","Mis'ka Rada","Mis'ka Rada","","Severodonetsk"
364,240,"UKR","Ukraine",15,"Luhans'k",364,"Slovianoserbs'kyi","UA.LH.SS",NA,"","Raion","District","","Slovyanoserbskyi"
365,240,"UKR","Ukraine",15,"Luhans'k",365,"Stakhanivs'ka","UA.LH.SK",NA,"","Mis'ka Rada","Mis'ka Rada","","Stahanov"
366,240,"UKR","Ukraine",15,"Luhans'k",366,"Stanychno-Luhans'kyi","UA.LH.SL",NA,"","Raion","District","","StanichnoLugansky"
367,240,"UKR","Ukraine",15,"Luhans'k",367,"Starobil's'kyi","UA.LH.SB",NA,"","Raion","District","","Starobilskyi"
368,240,"UKR","Ukraine",15,"Luhans'k",368,"Svativs'kyi","UA.LH.SV",NA,"","Raion","District","","Svatovskyi"
369,240,"UKR","Ukraine",15,"Luhans'k",369,"Sverdlovs'ka","UA.LH.SM",NA,"","Mis'ka Rada","Mis'ka Rada","","Sverdlovs'ka"
370,240,"UKR","Ukraine",15,"Luhans'k",370,"Sverdlovs'kyi","UA.LH.SR",NA,"","Raion","District","","Sverdlovskyi-Lug"
371,240,"UKR","Ukraine",15,"Luhans'k",371,"Tro‹ts'kyi","UA.LH.TR",NA,"","Raion","District","","Troitskyi-Lug"
372,240,"UKR","Ukraine",16,"Mykolayiv",372,"Arbuzyns'kyi","UA.MY.AR",NA,"","Raion","District","","Arbuzynskyi"
373,240,"UKR","Ukraine",16,"Mykolayiv",373,"Bashtans'kyi","UA.MY.BA",NA,"","Raion","District","","Bashtanskyi"
374,240,"UKR","Ukraine",16,"Mykolayiv",374,"Berezans'kyi","UA.MY.BE",NA,"","Raion","District","","Berezanskyi"
375,240,"UKR","Ukraine",16,"Mykolayiv",375,"Bereznehuvats'kyi","UA.MY.BH",NA,"","Raion","District","","Berezneguvatskyi"
376,240,"UKR","Ukraine",16,"Mykolayiv",376,"Brats'kyi","UA.MY.BR",NA,"","Raion","District","","Bratskyi-Myk"
377,240,"UKR","Ukraine",16,"Mykolayiv",377,"Domanivs'kyi","UA.MY.DO",NA,"","Raion","District","","Domanivskyi"
378,240,"UKR","Ukraine",16,"Mykolayiv",378,"Ielanets'kyi","UA.MY.IE",NA,"","Raion","District","","Yelanetskyi"
379,240,"UKR","Ukraine",16,"Mykolayiv",379,"Kazanetskyi","UA.MY.KA",NA,"","Raion","District","","Kazankivs'kyi"
380,240,"UKR","Ukraine",16,"Mykolayiv",380,"Kryvoozers'kyi","UA.MY.KR",NA,"","Raion","District","","Kryvoozerskyi"
381,240,"UKR","Ukraine",16,"Mykolayiv",381,"Mykola‹vs'ka","UA.MY.MM",NA,"","Misto","City","","Mykolayiv-Myk"
382,240,"UKR","Ukraine",16,"Mykolayiv",382,"Mykola‹vs'kyi","UA.MY.MR",NA,"","Raion","District","","Mykolayivskyi-Myl"
383,240,"UKR","Ukraine",16,"Mykolayiv",383,"Novobuz'kyi","UA.MY.NB",NA,"","Raion","District","","Novobuzkyi"
384,240,"UKR","Ukraine",16,"Mykolayiv",384,"Novoodes'kyi","UA.MY.NO",NA,"","Raion","District","","Novoodeskyi"
385,240,"UKR","Ukraine",16,"Mykolayiv",385,"Ochakivs'kyi","UA.MY.OR",NA,"","Raion","District","","Ochakivskyi"
